Price,Close,High,Low,Open,Volume
Ticker,^STI,^STI,^STI,^STI,^STI
Date,,,,,
2020-01-02,3252.0,3256.090087890625,3220.669921875,3230.47998046875,136381900
2020-01-03,3238.820068359375,3268.72998046875,3227.6298828125,3260.27001953125,193650300
2020-01-06,3218.860107421875,3226.110107421875,3210.679931640625,3221.56005859375,154063200
2020-01-07,3247.860107421875,3247.860107421875,3233.5,3236.22998046875,187657600
2020-01-08,3245.889892578125,3245.889892578125,3193.31005859375,3211.280029296875,297723700
2020-01-09,3247.47998046875,3262.719970703125,3243.10009765625,3262.719970703125,230734400
2020-01-10,3255.949951171875,3261.280029296875,3246.6201171875,3252.659912109375,195969000
2020-01-13,3251.070068359375,3267.969970703125,3248.0,3259.43994140625,211815300
2020-01-14,3270.5400390625,3270.5400390625,3256.179931640625,3262.080078125,270354000
2020-01-15,3256.97998046875,3276.0,3252.02001953125,3266.5400390625,245144400
2020-01-16,3278.0,3280.360107421875,3255.6298828125,3256.830078125,270571600
2020-01-17,3281.030029296875,3283.889892578125,3269.989990234375,3282.85009765625,202760000
2020-01-20,3280.090087890625,3283.06005859375,3270.800048828125,3280.949951171875,172691700
2020-01-21,3247.169921875,3275.14990234375,3232.989990234375,3271.56005859375,272436300
2020-01-22,3253.929931640625,3258.9599609375,3240.169921875,3242.60009765625,202913300
2020-01-23,3234.56005859375,3259.89990234375,3231.3701171875,3251.840087890625,313846600
2020-01-24,3240.02001953125,3242.5,3230.320068359375,3235.360107421875,192710800
2020-01-28,3181.25,3190.080078125,3144.10009765625,3172.72998046875,461901000
2020-01-29,3182.570068359375,3193.840087890625,3172.659912109375,3181.18994140625,207466100
2020-01-30,3170.679931640625,3191.3798828125,3152.510009765625,3183.199951171875,246419300
2020-01-31,3153.72998046875,3183.4599609375,3144.330078125,3173.389892578125,283957200
2020-02-03,3116.31005859375,3139.360107421875,3112.330078125,3131.02001953125,240928600
2020-02-04,3156.570068359375,3166.7099609375,3132.510009765625,3135.5,251277700
2020-02-05,3200.1298828125,3203.0400390625,3156.860107421875,3163.669921875,247570300
2020-02-06,3231.550048828125,3231.969970703125,3206.919921875,3215.3701171875,284410900
2020-02-07,3181.47998046875,3219.800048828125,3170.570068359375,3214.179931640625,322500500
2020-02-10,3163.14990234375,3173.320068359375,3137.81005859375,3142.469970703125,203859800
2020-02-11,3175.570068359375,3195.5,3166.989990234375,3168.14990234375,233884800
2020-02-12,3223.3701171875,3223.3701171875,3175.25,3182.3798828125,309948500
2020-02-13,3220.090087890625,3232.89990234375,3211.8701171875,3230.280029296875,234275500
2020-02-14,3220.030029296875,3233.860107421875,3212.06005859375,3216.360107421875,242145500
2020-02-17,3213.0,3223.429931640625,3210.0,3220.659912109375,192026300
2020-02-18,3196.6298828125,3203.6201171875,3191.14990234375,3203.3798828125,198579800
2020-02-19,3213.7099609375,3222.610107421875,3194.35009765625,3199.219970703125,204087800
2020-02-20,3198.679931640625,3221.68994140625,3190.989990234375,3217.5400390625,206574200
2020-02-21,3181.030029296875,3200.72998046875,3179.3701171875,3189.18994140625,230052300
2020-02-24,3142.199951171875,3166.010009765625,3140.389892578125,3159.639892578125,285617700
2020-02-25,3158.239990234375,3171.739990234375,3142.199951171875,3145.010009765625,255301500
2020-02-26,3117.52001953125,3136.43994140625,3117.52001953125,3131.639892578125,309471500
2020-02-27,3111.699951171875,3114.14990234375,3086.389892578125,3110.22998046875,315229200
2020-02-28,3011.080078125,3056.56005859375,3008.4599609375,3043.669921875,552747300
2020-03-02,3007.719970703125,3026.22998046875,2987.409912109375,2988.35009765625,35847300
2020-03-03,3019.56005859375,3042.77001953125,3015.550048828125,3032.35009765625,33960600
2020-03-04,3025.030029296875,3031.929931640625,3003.090087890625,3015.199951171875,37387900
2020-03-05,3018.27001953125,3047.7900390625,3016.330078125,3037.070068359375,42641900
2020-03-06,2960.97998046875,3000.139892578125,2959.159912109375,2999.22998046875,33620900
2020-03-09,2782.3701171875,2891.64990234375,2772.699951171875,2891.590087890625,49347200
2020-03-10,2832.5400390625,2853.68994140625,2756.8798828125,2766.18994140625,47398900
2020-03-11,2783.719970703125,2861.25,2778.919921875,2837.68994140625,37599400
2020-03-12,2678.639892578125,2752.639892578125,2666.050048828125,2751.679931640625,49530700
2020-03-13,2634.0,2676.840087890625,2510.8798828125,2555.510009765625,65694100
2020-03-16,2495.77001953125,2590.909912109375,2495.77001953125,2557.800048828125,491526400
2020-03-17,2454.530029296875,2517.10009765625,2454.530029296875,2469.72998046875,588144700
2020-03-18,2425.6201171875,2532.389892578125,2420.860107421875,2472.530029296875,576383300
2020-03-19,2311.0,2441.10009765625,2303.89990234375,2415.360107421875,608095800
2020-03-20,2410.739990234375,2433.139892578125,2312.530029296875,2314.780029296875,628761400
2020-03-23,2233.47998046875,2274.3798828125,2208.419921875,2274.3798828125,111850600
2020-03-24,2362.050048828125,2372.35009765625,2291.25,2292.570068359375,469575500
2020-03-25,2505.469970703125,2510.760009765625,2390.7099609375,2429.570068359375,545558100
2020-03-26,2487.56005859375,2519.320068359375,2433.429931640625,2519.300048828125,511193700
2020-03-27,2528.760009765625,2561.3701171875,2511.2099609375,2545.639892578125,487699200
2020-03-30,2416.239990234375,2480.449951171875,2409.68994140625,2479.97998046875,403297900
2020-03-31,2481.22998046875,2487.64990234375,2454.169921875,2454.169921875,511031400
2020-04-01,2440.27001953125,2481.43994140625,2419.10009765625,2468.169921875,363877000
2020-04-02,2453.030029296875,2453.81005859375,2390.8798828125,2402.429931640625,405555200
2020-04-03,2389.2900390625,2454.7900390625,2380.840087890625,2451.469970703125,456374200
2020-04-06,2470.590087890625,2477.31005859375,2411.27001953125,2429.580078125,384427200
2020-04-07,2571.889892578125,2571.889892578125,2502.330078125,2506.25,492081200
2020-04-08,2539.43994140625,2551.64990234375,2507.1298828125,2528.31005859375,318915900
2020-04-09,2571.320068359375,2596.18994140625,2559.27001953125,2564.840087890625,346484700
2020-04-13,2567.25,2572.5,2544.89990234375,2561.409912109375,163623700
2020-04-14,2634.570068359375,2647.5,2566.090087890625,2570.72998046875,351096000
2020-04-15,2605.56005859375,2650.52001953125,2591.159912109375,2646.909912109375,369997800
2020-04-16,2612.25,2635.179931640625,2581.0400390625,2581.449951171875,296993300
2020-04-17,2614.60009765625,2671.580078125,2609.139892578125,2661.280029296875,398929400
2020-04-20,2597.85009765625,2627.56005859375,2592.949951171875,2622.669921875,244908500
2020-04-21,2551.919921875,2601.14990234375,2551.919921875,2591.97998046875,351561100
2020-04-22,2550.0400390625,2556.050048828125,2507.830078125,2530.969970703125,351932200
2020-04-23,2542.3701171875,2563.1201171875,2539.840087890625,2549.8701171875,263707100
2020-04-24,2518.159912109375,2533.75,2501.580078125,2530.030029296875,299499900
2020-04-27,2549.39990234375,2562.35009765625,2525.60009765625,2525.60009765625,245348400
2020-04-28,2562.949951171875,2562.949951171875,2532.239990234375,2559.8701171875,328809900
2020-04-29,2574.72998046875,2579.27001953125,2554.77001953125,2561.070068359375,267659600
2020-04-30,2624.22998046875,2633.919921875,2592.610107421875,2600.010009765625,536545700
2020-05-04,2563.68994140625,2575.139892578125,2536.6298828125,2555.669921875,349485700
2020-05-05,2572.360107421875,2595.1298828125,2572.360107421875,2579.10009765625,220314200
2020-05-06,2591.60009765625,2608.010009765625,2565.93994140625,2566.68994140625,294626700
2020-05-08,2591.8798828125,2602.429931640625,2579.360107421875,2600.3798828125,330465700
2020-05-11,2611.31005859375,2611.739990234375,2590.659912109375,2597.85009765625,260504400
2020-05-12,2587.81005859375,2590.510009765625,2576.4599609375,2582.550048828125,241063400
